state,capital,latitude,longitude,population,seal,income
New York,Albany,42.652843,-73.757874,19514849,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Seal_of_New_York_%28state%29.svg/180px-Seal_of_New_York_%28state%29.svg.png,72108
Ohio,Columbus,39.961346,-82.999069,11675275,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Seal_of_Ohio_%28Official%29.svg/180px-Seal_of_Ohio_%28Official%29.svg.png,58642
Oklahoma,Oklahoma City,35.492207,-97.503342,3949342,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Seal_of_Oklahoma.svg/179px-Seal_of_Oklahoma.svg.png,54449
Oregon,Salem,44.938461,-123.030403,4176346,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Seal_of_Oregon.svg/180px-Seal_of_Oregon.svg.png,67058
Pennsylvania,Harrisburg,40.264378,-76.883598,12794885,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Seal_of_Pennsylvania.svg/180px-Seal_of_Pennsylvania.svg.png,63436
Rhode Island,Providence,41.830914,-71.414963,1057798,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Seal_of_Rhode_Island.svg/180px-Seal_of_Rhode_Island.svg.png,71169
South Carolina,Columbia,34.000343,-81.033211,5091517,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Seal_of_South_Carolina.svg/179px-Seal_of_South_Carolina.svg.png,56227
South Dakota,Pierre,44.367031,-100.346405,879336,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/State_Seal_of_South_Dakota.svg/180px-State_Seal_of_South_Dakota.svg.png,59533
Tennessee,Nashville,36.16581,-86.784241,6772268,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Seal_of_Tennessee.svg/179px-Seal_of_Tennessee.svg.png,56071
Texas,Austin,30.27467,-97.740349,28635442,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Seal_of_Texas.svg/180px-Seal_of_Texas.svg.png,64034
Utah,Salt Lake City,40.777477,-111.888237,3151239,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Seal_of_Utah.svg/180px-Seal_of_Utah.svg.png,75780
Vermont,Montpelier,44.262436,-72.580536,624340,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/State_Seal_of_Vermont.svg/180px-State_Seal_of_Vermont.svg.png,63001
Virginia,Richmond,37.538857,-77.43364,8509358,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Seal_of_Virginia.svg/180px-Seal_of_Virginia.svg.png,76456
Washington,Olympia,47.035805,-122.905014,7512465,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Seal_of_Washington.svg/180px-Seal_of_Washington.svg.png,78687
West Virginia,Charleston,38.336246,-81.612328,1807426,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Seal_of_West_Virginia.svg/180px-Seal_of_West_Virginia.svg.png,48850
Wisconsin,Madison,43.074684,-89.384445,5806975,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Seal_of_Wisconsin.svg/180px-Seal_of_Wisconsin.svg.png,64168
Wyoming,Cheyenne,41.140259,-104.820236,581348,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Seal_of_Wyoming.svg/180px-Seal_of_Wyoming.svg.png,65003
